_id,keywords_en,keyword_hash,image_url,categories,tags
6286,spider's web|spider web,ec334611,https://static.arasaac.org/pictograms/6286/6286_500.png,decorative item|halloween,object|decorative item|event|popular event|halloween
6446,delicatessen|charcuterie,f33c3d31,https://static.arasaac.org/pictograms/6446/6446_500.png,commercial building|cold meat,place|building|trade|feeding|food|processed food|cold meat
6447,pork butcher,c096e55d,https://static.arasaac.org/pictograms/6447/6447_500.png,seller|cold meat,work|professional|seller|feeding|food|processed food|cold meat
6448,chocolate|hot chocolate,1ff09bfb,https://static.arasaac.org/pictograms/6448/6448_500.png,beverage,feeding|food|beverage
6449,suck|lick,be456c41,https://static.arasaac.org/pictograms/6449/6449_500.png,verb|sweets,communication|language|verb|feeding|food|ultra-processed food|sweets
6450,circus tent|circus,cbc5e7eb,https://static.arasaac.org/pictograms/6450/6450_500.png,recreational facility|entertainment facility|circus|core vocabulary-place|core vocabulary-leisure|core vocabulary-knowledge,place|facility|recreational facility|leisure|scenic art|circus|show|core vocabulary
6451,nail|hammer,8ffba35a,https://static.arasaac.org/pictograms/6451/6451_500.png,verb|work tool|carpentry,communication|language|verb|work|tool|secondary sector|carpentry
6452,take|pick up,2845980f,https://static.arasaac.org/pictograms/6452/6452_500.png,verb,communication|language|verb
6453,take|pick up,2845980f,https://static.arasaac.org/pictograms/6453/6453_500.png,usual verbs|core vocabulary-communication,communication|language|verb|usual verbs|core vocabulary
6454,school|schoolhouse,4c84d68b,https://static.arasaac.org/pictograms/6454/6454_500.png,educational building|educational_building|signaling system,education|building|place|communication|signaling system
6455,push|swing,b95e7aa0,https://static.arasaac.org/pictograms/6455/6455_500.png,verb|playground,communication|language|verb|place|facility|recreational facility|leisure|playground
6456,eat,9a97eda6,https://static.arasaac.org/pictograms/6456/6456_500.png,verb|food|basic needs|core vocabulary-communication|gastronomy,communication|language|verb|feeding|food|person|basic needs|core vocabulary|gastronomy
6457,buy|pay|purchase,d034c06e,https://static.arasaac.org/pictograms/6457/6457_500.png,verb|trade|money|usual verbs|core vocabulary-communication|object|mode of transport|toy|game|educational material|sport material|medicine,communication|language|verb|work|tertiary sector|trade|economy|money|usual verbs|core vocabulary|object|movement|traffic|mode of transport|leisure|sport|toy|game|education|educational material|sport material|health|medicine
6458,drive,4aa1e741,https://static.arasaac.org/pictograms/6458/6458_500.png,usual verbs|land transport|core vocabulary-communication,communication|language|verb|usual verbs|movement|traffic|mode of transport|land transport|core vocabulary
6459,driver|chauffeur,382e4450,https://static.arasaac.org/pictograms/6459/6459_500.png,road safety|land transport,movement|traffic|road safety|mode of transport|land transport
6461,narrate|tell|read,e1ac3a04,https://static.arasaac.org/pictograms/6461/6461_500.png,verb|literature,communication|language|verb|literature
6464,postal service|post office,5699f70d,https://static.arasaac.org/pictograms/6464/6464_500.png,service building|telecommunication|mass media|signaling system|core vocabulary-place|core vocabulary-work|core vocabulary-communication,place|building|service building|work|tertiary sector|telecommunication|communication|mass media|signaling system|core vocabulary
6465,run,a53108f7,https://static.arasaac.org/pictograms/6465/6465_500.png,usual verbs|physical exercise|core vocabulary-communication|animal|person according to their age,communication|language|verb|usual verbs|leisure|sport|physical exercise|core vocabulary|animal|person
6466,cross,22aadb26,https://static.arasaac.org/pictograms/6466/6466_500.png,verb|road safety,communication|language|verb|movement|traffic|road safety
6469,tale|story,565bc585,https://static.arasaac.org/pictograms/6469/6469_500.png,library science|educational material,library science|education|educational material
6470,tale,4d3debaf,https://static.arasaac.org/pictograms/6470/6470_500.png,library science|educational material,library science|education|educational material
6471,tale|Pinocchio tale,5ae66b7d,https://static.arasaac.org/pictograms/6471/6471_500.png,library science|educational material,library science|education|educational material
6472,tale|tales|storybooks,0377e7a0,https://static.arasaac.org/pictograms/6472/6472_500.png,literature|library science|educational material,literature|library science|education|educational material
6473,body,841a2d68,https://static.arasaac.org/pictograms/6473/6473_500.png,human anatomy|core vocabulary-living being,human body|anatomy|human anatomy|core vocabulary
6474,return a book|return|organise|organize,d28c7103,https://static.arasaac.org/pictograms/6474/6474_500.png,verb|library science,communication|language|verb|library science
6475,brilliant|diamond|sparkle,3553645b,https://static.arasaac.org/pictograms/6475/6475_500.png,mineral origin material|jewelry,material|raw material|mineral origin material|object|fashion|jewelry
6476,December,82331503,https://static.arasaac.org/pictograms/6476/6476_500.png,month|core vocabulary-time,time|calendar|month|core vocabulary
6477,argue|discuss|fight|quarrel,b8632dcd,https://static.arasaac.org/pictograms/6477/6477_500.png,verb|disruptive behavior,communication|language|verb|psychology|disruptive behavior
6478,Sunday,9d1a0949,https://static.arasaac.org/pictograms/6478/6478_500.png,day,time|calendar|day
6479,sleep,c9fab33e,https://static.arasaac.org/pictograms/6479/6479_500.png,usual verbs|basic needs|routine|core vocabulary-communication,communication|language|verb|usual verbs|person|basic needs|routine|core vocabulary
6480,he,6f96cfdf,https://static.arasaac.org/pictograms/6480/6480_500.png,personal pronoun,communication|language|pronoun|personal pronoun
6481,he|him|himself|with him,395b7e44,https://static.arasaac.org/pictograms/6481/6481_500.png,pronoun|personal pronoun,communication|language|pronoun|personal pronoun
6482,electrician|lineman,2baf4b8a,https://static.arasaac.org/pictograms/6482/6482_500.png,professional|construction,work|professional|secondary sector|construction
6483,choose,ebd73ade,https://static.arasaac.org/pictograms/6483/6483_500.png,verb|literacy genre|library science,communication|language|verb|literature|literacy genre|library science
6484,pregnant woman|pregnant,ce8f178a,https://static.arasaac.org/pictograms/6484/6484_500.png,qualifying adjective|adult|obstetrics,communication|language|adjective|qualifying adjective|person|adult|health|medicine|gynecology|obstetrics
6485,push,21a361d9,https://static.arasaac.org/pictograms/6485/6485_500.png,usual verbs|core vocabulary-communication,communication|language|verb|usual verbs|core vocabulary
6486,light a candle,045d6025,https://static.arasaac.org/pictograms/6486/6486_500.png,verb,communication|language|verb
6487,score|score a basket,aae98a86,https://static.arasaac.org/pictograms/6487/6487_500.png,verb|basketball,communication|language|verb|leisure|sport|basketball
6488,January,86f5978d,https://static.arasaac.org/pictograms/6488/6488_500.png,month|core vocabulary-time,time|calendar|month|core vocabulary
6489,thread,dc127f5d,https://static.arasaac.org/pictograms/6489/6489_500.png,verb|work tool|clothing industry,communication|language|verb|work|tool|secondary sector|clothing industry
6490,string|thread,e2cc8ca0,https://static.arasaac.org/pictograms/6490/6490_500.png,verb|educational task,communication|language|verb|education|educational task
6491,enter|come in|get in|go in,c4d359c0,https://static.arasaac.org/pictograms/6491/6491_500.png,verb|architectural element|building facility,communication|language|verb|architecture|building|architectural element|place|building facility
6492,interview,04980744,https://static.arasaac.org/pictograms/6492/6492_500.png,verb|mass media,communication|language|verb|mass media
6493,disappear|hide,95c596f9,https://static.arasaac.org/pictograms/6493/6493_500.png,verb|usual verbs|core vocabulary-communication,communication|language|verb|usual verbs|core vocabulary
6494,train station|station|railroad terminal|railway station,2a7accef,https://static.arasaac.org/pictograms/6494/6494_500.png,facility|land transport|signaling system,place|facility|movement|traffic|mode of transport|land transport|communication|signaling system
6495,study,2cd1c6ec,https://static.arasaac.org/pictograms/6495/6495_500.png,usual verbs|educational task|core vocabulary-communication|core vocabulary-education,communication|language|verb|usual verbs|education|educational task|core vocabulary
6496,pharmacist|druggist|chemist|apothecary,92e20ee7,https://static.arasaac.org/pictograms/6496/6496_500.png,sanitary professional|health personnel|medicament,work|professional|medicine|health|medicament
6497,pharmacy|drugstore|chemist's,057b6008,https://static.arasaac.org/pictograms/6497/6497_500.png,commercial building|medicament|signaling system|core vocabulary-place|core vocabulary-knowledge|core vocabulary-communication,place|building|trade|health|medicine|medicament|communication|signaling system|core vocabulary
6498,February,659e59f0,https://static.arasaac.org/pictograms/6498/6498_500.png,month|core vocabulary-time,time|calendar|month|core vocabulary
6499,Happy Birthday!|Happy Birthday,0b55a089,https://static.arasaac.org/pictograms/6499/6499_500.png,expression|birthday,communication|language|expression|event|social event|birthday
6500,ironmonger|hardware store|ironmonger's shop,2d8a3f21,https://static.arasaac.org/pictograms/6500/6500_500.png,commercial building|work tool|signaling system,place|building|trade|work|tool|communication|signaling system
6501,container|glass bank,e3cc31bd,https://static.arasaac.org/pictograms/6501/6501_500.png,recycling|street furniture,environmental science|recycling|urban area|street furniture
6502,fish|breaded fish,7a3584ff,https://static.arasaac.org/pictograms/6502/6502_500.png,gastronomy|fish,feeding|food|gastronomy|animal-based food|fish
6503,florist,4530c6fa,https://static.arasaac.org/pictograms/6503/6503_500.png,seller|flower|gardening,work|professional|seller|plant|flower|primary sector|gardening
6504,flower shop|flower store|florist shop|florist's,9d5331a1,https://static.arasaac.org/pictograms/6504/6504_500.png,commercial building|flower|signaling system,place|building|trade|plant|flower|communication|signaling system
6505,plumbing,6676d258,https://static.arasaac.org/pictograms/6505/6505_500.png,commercial building|construction|signaling system,place|building|trade|work|secondary sector|construction|communication|signaling system
6506,plumber,74d3077c,https://static.arasaac.org/pictograms/6506/6506_500.png,professional|construction,work|professional|secondary sector|construction
6507,scrub|wash|mop,5e63d196,https://static.arasaac.org/pictograms/6507/6507_500.png,verb|cleaning product,communication|language|verb|object|cleaning product
